query_id,customer_query,expected_response,category,intent,sentiment,response_length
18994,i dont know how to purchase several products,"Happy to hear from you! I truly understand that you may be unfamiliar with the process of purchasing several products, but don't worry, I'm here to help. To get started, could you please let me know which specific products you're interested in? Once I have that information, I can guide you step-by-step and ensure a smooth and successful purchase experience.",ORDER,place_order,0.0,60
3168,I am tring to see the early exit penalty,"Certainly! To view the early exit penalty, you can refer to the terms and conditions section of your account agreement. It will provide you with detailed information regarding any fees or penalties associated with canceling your account before the agreed-upon term. If you need further assistance, please don't hesitate to let me know.",CANCEL,check_cancellation_fee,0.1,53
1718,can uhelp me swappping a product of purchase {{Order Number}},"We appreciate your inquiry to us for assistance with swapping a product from your purchase with order number {{Order Number}}. We understand that sometimes you may need to make changes to your order, and we're here to help. To proceed with the swap, could you please provide us with the details of the product you would like to swap and the replacement product you would like to receive? Once we have this information, we will do our best to facilitate the product swap for you.",ORDER,change_order,0.0,85
8496,where do i see what hours i can contact customer support,"Thank you for contacting! I certainly recognize that you would like to know where you can find the operating hours when you can contact our customer support team. To view the customer support hours, kindly visit our website at {{Website URL}} and navigate to the ""Contact Us"" or ""Support"" section. There, you will find the specific hours during which our dedicated team is available to assist you. If you have any other questions or require further assistance, please don't hesitate to let me know.",CONTACT,contact_customer_service,0.0,84
12755,can I check what shipping methods I have?,"Of course! I'm here to assist you in discovering the shipping methods available to you. Let's dive right into it: 1. Standard Shipping: Typically arrives within 3-5 business days. It's a reliable option for non-urgent items. 2. Expedited Shipping: If you need your items a bit faster, this option ensures delivery within 1-3 business days. 3. Overnight Shipping: For those urgent needs, this option guarantees next business day delivery. 4. In-Store Pickup: If you prefer a more personal touch, you can select this option to grab your items from our nearest store location. Feel free to let me know if you have any specific concerns or if there's anything else I can assist you with regarding shipping methods. My purpose is to ensure your satisfaction!",DELIVERY,delivery_options,0.0,125
23012,"I need to set a damn shipping address up, will you help me?","I perceive that you're frustrated and looking for assistance in setting up a shipping address. I apologize for any inconvenience you may have experienced. Rest assured, I'm here to assist you. To set up a shipping address, please follow these steps: 1. Log in to your account. 2. Navigate to the ""My Account"" or ""Profile"" section. 3. Look for the ""Shipping Addresses"" or ""Delivery Address"" option. 4. Click on ""Add New Address"" or ""Edit Shipping Address"". 5. Fill in the necessary information for your shipping address, such as your name, street address, city, state, and zip code. 6. Double-check the details to ensure accuracy. 7. Save the changes or click on ""Submit"". If you encounter any issues or need further guidance, please provide more details about where you're facing difficulties, and I'll be glad to assist you further.",SHIPPING,set_up_shipping_address,0.0,138
26554,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},"I understand how important it is for you to receive your reimbursement of {{Currency Symbol}}{{Refund Amount}}. Rest assured, we are committed to resolving your refund inquiry promptly. Let me quickly check the status of your reimbursement to provide you with the most up-to-date information. I appreciate your patience while I gather the details necessary to assist you further.",REFUND,track_refund,0.0,58
4271,i need assistance to give a quick look at the invoice #37777,"Unquestionably! I completely understand your need for a quick look at the invoice with the number #{{Invoice Number}}. With a few details, I'll be able to assist you better. Can you please provide me with the email address associated with the invoice or any other relevant information? This will help me find the invoice quickly and provide you with the necessary details.",INVOICE,check_invoice,0.3333333333333333,62
5970,I have to see in what cases can I request a refund,"I'll get right on it! I completely understand your need to have a clear understanding of when you can request a refund. Here are some common scenarios where you may be eligible for a refund: 1. **Product/Service Defect:** If the product or service you received is defective, damaged, or doesn't meet your expectations, you usually have the right to request a refund. 2. **Cancellation within Grace Period:** Many companies provide a grace period during which you can cancel your purchase and receive a refund. This period may vary, so it's essential to check the terms and conditions of the specific vendor or service provider. 3. **Change in Plans:** If your circumstances change, and you no longer need or want the product or service, you may be able to request a refund. However, this depends on the individual refund policy of the vendor or service provider. 4. **Unauthorized Charges:** If you notice unauthorized charges on your account or credit card statement, contacting your bank or the payment processor can help resolve the issue and potentially result in a refund. 5. **Non-Delivery:** If you haven't received the product or service within the promised timeframe, you may be entitled to a refund. Make sure to reach out to the vendor or service provider to inquire about the status of your delivery. 6. **Service Dissatisfaction:** If the service you received did not meet your expectations or was not performed as described, you should contact the service provider and request a refund. Please keep in mind that each company or vendor may have specific refund policies, so it's advisable to review their terms and conditions or contact their customer support for more detailed information. If you have any specific concerns or questions related to a particular order or product, please provide me with the necessary details, such as the order number or product name. I'm here to assist you every step of the way. Is there anything else I can help you with today?",REFUND,check_refund_policy,0.0,329
8213,what do I have to do to call customer service?,"We're all ears! I'm tuned into the idea that you would like to know what steps are involved in calling our customer service. To connect with our customer support team, you can dial our dedicated customer service phone number at {{Customer Support Phone Number}}. Our team is available during {{Customer Support Hours}} to assist you with any inquiries or concerns you may have. Feel free to reach out to us, and we'll be glad to help you. Is there anything else I can assist you with?",CONTACT,contact_customer_service,0.0,86
17105,can uhelp me subscribe to ur newsletter,"I acknowledge that you're seeking assistance with subscribing to our newsletter. I'm here to help you with that. Could you please provide me with your email address? Once I have that, I'll make sure you're added to our mailing list right away. Thank you for your interest in staying connected with us through our newsletter!",SUBSCRIPTION,newsletter_subscription,0.0,55
11523,give me information about the deletion of my {{Account Type}} account,"Thank you for your inquiry regarding the deletion of your {{Account Type}} account. I understand that you would like more information about the process. To assist you further, could you please provide me with the specific details or concerns you have regarding the deletion of your {{Account Type}} account? This will enable me to give you the most accurate and relevant information to guide you through the process.",ACCOUNT,delete_account,0.0,68
865,I want help to cancel purchase {{Order Number}},"I can relate that you need assistance with canceling your purchase with the purchase number {{Order Number}}. Our goal is to make this process as smooth as possible for you. Here are the steps you can follow: 1. Sign in to Your Account: Go to our {{Online Company Portal Info}} and log in using your credentials. 2. Locate Your Order: Once you're logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section. 3. Find the Purchase: Look for the purchase associated with the order number {{Order Number}} and click on it to view the details. 4. Initiate the Cancellation: Within the purchase details, you should see an option labeled '{{Online Order Interaction}}'. Click on it to start the cancellation process. 5. Confirm Your Choice: The system may ask for your confirmation or request additional information. Please provide the necessary details as prompted to complete the cancellation successfully. If you encounter any difficulties or have any questions along the way, don't hesitate to reach out to our dedicated support team. You can contact us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or use the Live Chat feature on our website at {{Website URL}}. We are here to guide you through the process and ensure your satisfaction.",ORDER,cancel_order,0.0,210
25560,checking order {{Order Number}} status,"Thank you for reaching out! I am here to assist you in checking the status of your order with the order number {{Order Number}}. To view the current status, please visit the '{{Online Order Interaction}}' section on our website. If you have any other questions or need further assistance, feel free to let me know. It is my goal to ensure that you have a seamless experience!",ORDER,track_order,0.0,67
3767,I want help to see the early exit fees,"Sure! I'd be happy to assist you in checking the early exit fees. To access this information, please log in to your account on our website and navigate to the ""Billing"" or ""Account Details"" section. From there, you should be able to find the details regarding the early exit fees. Let me know if you have any further questions or need any additional assistance.",CANCEL,check_cancellation_fee,0.1,64
12320,do ya ship to {{Delivery Country}},"Unquestionably! We are pleased to inform you that we offer shipping services to {{Delivery Country}}. You can choose from our range of delivery options to have your items conveniently shipped to your location in {{Delivery Country}}. If you have any specific concerns or if there's anything else I can assist you with, please feel free to let me know. It's our pleasure to ensure a seamless shopping experience for you!",DELIVERY,delivery_options,0.0,70
3898,check cancellation fee,"Certainly! Let me find the information regarding the cancellation fee for your account. Please provide me with your account details, and I will assist you further.",CANCEL,check_cancellation_fee,0.0,26
24693,i need assistance changing to the {{Account Type}} account,"Definitely! I'm here to provide the guidance you need to smoothly transition to our remarkable {{Account Type}} account: 1. Sign In: Begin by logging in to our platform using your credentials. 2. Account Settings: Once you're inside, navigate to the ""Account"" or ""Profile"" section. 3. Upgrade Option: Locate an option labeled ""Upgrade"" or ""Switch Account Type"" within these sections. 4. {{Account Type}} Account Selection: Choose the ""{{Account Type}} Account"" option from the available list. 5. Finalize the Process: Follow the on-screen instructions to complete the necessary steps for the upgrade. If you encounter any difficulties or have any further questions, please don't hesitate to reach out. We're here to provide the support you need. Enjoy all the amazing benefits that come with your {{Account Type}} account upgrade!",ACCOUNT,switch_account,0.0,127
23565,ido not know how i can submit the new shipping address,"I comprehend your confusion about how to submit the new shipping address. Allow me to guide you through the process step by step: 1. Log in to your account using your credentials. 2. Navigate to the 'My Account' or 'Profile' section. 3. Look for the 'Shipping Addresses' or similar option. 4. Click on the option to add a new address. 5. Fill in the necessary fields with the details of your new shipping address. 6. Double-check the accuracy of the information you entered. 7. Save the changes, and your new shipping address will be submitted successfully. If you encounter any difficulties during this process or have any further issues, please don't hesitate to let me know. I'm here to help and ensure a seamless experience for you.",SHIPPING,set_up_shipping_address,0.13636363636363635,127
4217,what do i have to do to give a quick look at my bill #00108,"I've realized you're seeking a quick way to view the details of your bill with the number #{{Invoice Number}}. To give a quick look at your bill, you can log in to your account on our website and navigate to the ""Billing"" section. From there, you should be able to find the option to view your bill summary, which will provide you with a snapshot of the charges and payment information associated with your bill. If you need any further assistance or have any additional questions, feel free to let me know.",INVOICE,check_invoice,0.3333333333333333,92
2761,can you help me to correct my address?,"Of course, I'd be happy to assist you with correcting your address. To make sure we have the correct information, could you please provide me with your order number and the incorrect address that needs to be corrected?",SHIPPING,change_shipping_address,0.0,38
2748,I have issues editing my address,"I've taken note that you are experiencing difficulties in editing your address. To help you resolve this issue, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the ""My Account"" section. 3. Click on the ""Edit Address"" button. 4. Make the necessary changes to your address. 5. Save the updated address. If you encounter any further issues or have any questions, please don't hesitate to reach out to our customer support team for assistance.",SHIPPING,change_shipping_address,0.0,81
17205,I acn't unsubscribe to your company newsletter,"I apologize for any inconvenience you're facing with unsubscribing from our company newsletter. To better assist you, could you please provide me with your email address so that I can locate your subscription details and help you with the process? Rest assured, we value your privacy and will ensure that your request is handled promptly and efficiently. Thank you for bringing this to our attention, and we'll do our best to resolve this for you as quickly as possible.",SUBSCRIPTION,newsletter_subscription,0.0,79
12795,do you shp to {{Delivery City}}?,"To the beautiful city of {{Delivery City}}, our shipments eagerly make their way! You can definitely place an order with us and have it delivered to {{Delivery City}}. We offer a range of shipping options to ensure your convenience and satisfaction. Whether you prefer standard shipping, expedited shipping, or even overnight shipping, we have you covered. So feel free to explore our products, make your selection, and prepare to embrace the excitement of receiving your order in the renowned Emerald City. Should you have any further questions or need assistance with anything else, please don't hesitate to let me know. Happy shopping and seamless deliveries await you in {{Delivery City}}!",DELIVERY,delivery_options,0.0,110
3843,checking early exit fee,"I'll do my best! I can help you with checking the early exit fee. To provide you with accurate information, could you please provide me with your account details or contact our customer service team? They will be able to assist you further.",CANCEL,check_cancellation_fee,0.1,43
13578,help seeing how long it takes for my shipment to arrive,"We understand your anticipation to receive your shipment and your desire to know the estimated delivery timeframe. To provide you with accurate information, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With this information, we will be able to track the progress of your shipment and give you an estimated arrival date. Your patience is greatly appreciated as we work to ensure your package is delivered to you as quickly as possible.",DELIVERY,delivery_period,-0.05,76
22172,can uhelp me leave a damn review for a service,For sure! I would be more than happy to assist you in leaving a review for our service. Your feedback is important to us as it helps us understand your experience and make necessary improvements. Could you please provide more details about the service you would like to review?,FEEDBACK,review,0.0,49
1488,can you help me remove something from purchase {{Order Number}}?,"We understand that you are looking for assistance in removing an item from your purchase with the order number {{Order Number}}. We apologize for any inconvenience caused. To better assist you, could you please provide us with the specific item you would like to remove? Once we have this information, we will promptly assist you in updating your purchase. Your satisfaction is our top priority, and we appreciate your patience and cooperation in resolving this matter.",ORDER,change_order,0.0,76
5217,"I need to check the available payment methods, help me","Unquestionably! I'm here to assist you in accessing our available payment methods. To view the options, you can visit our website and navigate to the 'Payment Methods' section, usually located in the footer or under the 'Help' tab. There, you'll find comprehensive information about the various payment methods we offer, including credit/debit cards, PayPal, bank transfer, Apple Pay, and Google Wallet. If you encounter any difficulties or have further questions, feel free to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Your satisfaction is our priority, and we'll ensure you have all the information you need to make a convenient and secure payment.",PAYMENT,check_payment_methods,0.4,124
4175,I don't know what to do to locate the involice #85632,"I pick up what you're putting down, your uncertainty about how to locate the invoice with the number #{{Invoice Number}}. Rest assured, I'm here to guide you and provide you with the necessary steps. To begin, have you checked your email inbox for any email notifications or reminders regarding the invoice? You can also try logging into your account on our website and accessing the billing or invoices section, where you should be able to find the invoice you're looking for. If you still can't locate it, I recommend reaching out to our customer support team, as they will be able to assist you further in locating the invoice. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Together, we will find a solution to help you locate your invoice successfully.",INVOICE,check_invoice,0.0,144
8267,assistance to see what hours i can call customer service,"Your reach-out is appreciated! I'm sensing that you need assistance in finding the hours during which you can contact our customer service team. Our customer service team is available to assist you from {{Customer Support Hours}}. Whether you prefer calling us or connecting through our online chat support, our dedicated team is ready to help you. Is there anything specific you need assistance with?",CONTACT,contact_customer_service,0.0,64
21772,where to notify of problems with sign-up?,"Glad you contacted to us regarding the problems you encountered during the sign-up process. We value your feedback and want to ensure a smooth experience for all our users. To notify us of any sign-up issues or problems, we recommend contacting our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Our dedicated support agents will be more than happy to assist you and gather all the necessary information to address the problem effectively. Rest assured, we take all sign-up issues seriously and are committed to resolving them promptly. We appreciate your patience and understanding as we work towards improving our sign-up process.",ACCOUNT,registration_problems,0.0,119
23162,I have an issue entering a new shipping address,"We're here to help to us regarding your issue with entering a new shipping address. I understand the importance of having a smooth experience when entering your address, and I'm here to help you with that. To ensure you can successfully enter your new shipping address, please follow these steps: 1. Log in to your account on our website. 2. Go to the ""My Account"" or ""Profile"" section. 3. Look for the ""Shipping Addresses"" or a similar option. 4. Click on the ""Add New Address"" or ""Edit Shipping Addresses"" button. 5. Fill in the required fields with the details of your new shipping address. Make sure to double-check the accuracy of the information. 6. Save the changes. If you encounter any specific error messages or have any further issues during this process, please let me know, and I'll be more than happy to assist you further. Your satisfaction is our top priority, and we're committed to resolving any issues you may have.",SHIPPING,set_up_shipping_address,0.13636363636363635,162
5271,where to check what payment payment modalities are available,"Thank you for your inquiry on how to check the available payment options. To access the list of payment modalities we offer, you can visit our website and navigate to either the ""Payment Methods"" or ""Checkout"" section. There, you will find a comprehensive list of the payment options available for your convenience. If you need any further assistance or have any questions, feel free to reach out. We are here to help you every step of the way.",PAYMENT,check_payment_methods,0.4,78
15188,i want assistance to downlolad my bill #85632,"I realized you're seeking assistance to download your bill with number {{Invoice Number}}. Let me guide you through the process. First, please log in to your account on our website. Once you're logged in, navigate to the ""Billing"" or ""Invoices"" section. Here, you should be able to find and download your bill with the specified number. If you encounter any difficulties or have further questions, feel free to let me know. I'm here to assist you every step of the way.",INVOICE,get_invoice,0.0,81
6329,I need to check in which cases can I ask for a reimbursement,"Of course! I completely understand your need to familiarize yourself with the cases in which you can request a reimbursement. Allow me to shed light on this for you. When it comes to reimbursements, there are a few common scenarios in which you may be eligible: 1. **Product/Service Defect:** If the product or service you purchased has a defect or doesn't match the description, you usually have the option to request a reimbursement. 2. **Cancellation within Grace Period:** Should you change your mind about a purchase within the specified grace period, you can typically ask for a reimbursement. 3. **Unauthorized Charges:** If you come across any charges on your account that you didn't authorize or recognize, we're here to assist you in investigating and potentially securing a reimbursement. 4. **Event Cancellation:** We understand the disappointment of having an event you've purchased tickets for be canceled. In cases where the event doesn't get rescheduled, you may be eligible for a reimbursement. 5. **Duplicate Charges:** Mistakes happen, and if you notice duplicate charges for the same item, please notify us so that we can correct the issue and potentially provide a reimbursement. 6. **Non-receipt of Goods:** If you haven't received your purchased item within the expected timeframe, you may qualify for a reimbursement. It's important to note that each vendor or service provider might have their specific refund policies, so it's advisable to review their terms and conditions or reach out to them directly for further information. If you have any concerns regarding a specific order or need assistance with a potential reimbursement request, please provide me with the necessary details, such as the order number, and I'll be more than happy to assist you further. Remember, our goal is to ensure your satisfaction and provide helpful guidance throughout your journey. How else may I be of assistance to you today?",REFUND,check_refund_policy,0.0,309
24684,wanna use the {{Account Type}} profile help me,"I'll get right on it! I'm thrilled to assist you in leveraging the perks of our {{Account Type}} profile. Let's make this transition smooth and enjoyable: 1. **Logging In**: Start by signing in to your account. 2. **Navigate to Profile Settings**: Once you're logged in, head to your account's ""{{Profile Settings}}"" section. 3. **Account Type**: Within the ""{{Profile Settings}}"" section, search for the option labeled ""{{Account Type}}"" or ""{{Account Plan}}"". 4. **Switch to Free Profile**: Choose the ""{{Profile Type}}"" option from the available account types. 5. **Confirm Changes**: Follow the prompts and confirm your desire to switch to the {{Account Type}} profile. If you encounter any difficulties or have additional questions along the way, don't hesitate to reach out. I'm here to provide the support you need. Get ready to enjoy all the benefits that come with our {{Account Type}} profile!",ACCOUNT,switch_account,0.0,141
7267,how tolodge a customer complaint,"I've been informed that you would like to know how to lodge a customer complaint. Your feedback is highly valuable to us, and we are here to assist you with the process. To lodge a complaint, you can visit our website and look for the ""Contact Us"" or ""Customer Support"" page. There, you will find different channels to reach out to us, such as phone numbers, email addresses, or live chat options. Alternatively, you can also speak directly with one of our customer service representatives who will guide you through the complaint process. We genuinely appreciate your feedback and we are committed to resolving any issues you may have.",FEEDBACK,complaint,-0.3,109
20570,I cannot retrieve the bloody PIN code of my profile,"I'm sorry to hear that you're having trouble retrieving the PIN code for your profile. I understand how frustrating and inconvenient it can be. Let's work together to resolve this and get you back on track. Firstly, please make sure you're entering the correct information when trying to retrieve your PIN code. Double-check that you're using the correct email or username associated with your profile. If you're still unable to retrieve the PIN code, I recommend reaching out to our support team directly. They have the expertise and tools to assist you further. You can contact them through our {{Online Customer Support Channel}}, and they'll guide you through the necessary steps to regain access to your profile. Rest assured, we're committed to providing you with the support you need. We'll do our best to help you recover your PIN code and ensure a smooth experience with your profile.",ACCOUNT,recover_password,-0.8,148
17349,i want assistance unsubscribing from the newsletter,"I've been informed that you would like assistance with unsubscribing from our newsletter. I apologize if the newsletter content no longer meets your interests. To unsubscribe, you can simply click on the ""unsubscribe"" link at the bottom of any newsletter email you receive from us. Alternatively, you can also reach out to our customer support team, and they will be more than happy to assist you in unsubscribing. Our team takes your feedback seriously and wants to ensure your newsletter preferences align with your interests. Is there anything else I can help you with?",SUBSCRIPTION,newsletter_subscription,0.0,94
18183,I want assistance to notify of troubles with payments,"Appreciate your message to us for assistance in notifying us about the troubles you are facing with your payments. I understand that this can be frustrating and I'm here to help you through this process. To provide you with the best support, could you please provide more details about the specific issues you are encountering with your payments? This will help us understand the situation better and work towards finding a solution. We appreciate your patience and cooperation as we work together to resolve this matter for you.",PAYMENT,payment_issue,0.0,88
5175,help me see your allowed payment modalities,"Thank you for reaching out! I'm here to provide you with all the necessary information about our allowed payment methods. Here is a comprehensive list of the payment modalities we offer: 1. Credit/Debit Card: We accept major cards like Visa, Mastercard, and American Express, ensuring a convenient and secure payment experience. 2. PayPal: A widely recognized and trusted online payment platform that guarantees a seamless transaction process. 3. Bank Transfer: You have the option to make a direct payment from your bank account, ensuring hassle-free transactions. 4. Apple Pay: An effortless payment method exclusively designed for Apple users. 5. Google Wallet: Google's payment system that allows for quick and easy checkouts. We aim to provide you with a diverse range of payment options to suit your preferences. If you have any further questions or need assistance with any of these payment methods, please feel free to let me know.",PAYMENT,check_payment_methods,0.0,149
7496,file consumer reclamation against ur company,"I'm truly sorry to hear that you need to file a consumer reclamation against our company. We take concerns like yours seriously and want to ensure that your voice is heard. To begin the process, I recommend reaching out to our customer support team directly. They will be able to guide you through the necessary steps and provide you with the relevant information and assistance you need. Rest assured that we are committed to resolving any issues promptly and making things right for you.",FEEDBACK,complaint,0.0,84
16513,how can I get refunds of my money?,"Certainly, I understand your concern about getting refunds for your money. The process for obtaining a refund depends on the specific circumstances and the company's refund policy. To start, I recommend reaching out to the customer support team either through our website or by phone. They will guide you through the necessary steps and provide you with the required information. It's important to have your proof of purchase or any relevant documentation ready when contacting customer support. With their assistance, you'll be able to navigate the refund process smoothly and efficiently.",REFUND,get_refund,0.0,91
8171,I have to check what hours I can reach customer assistance,"Honored to assist! I'm clued in that you're looking to find out the operating hours for contacting our customer assistance team. Our dedicated customer assistance is available from {{Customer Support Hours}}. Please feel free to reach out during these hours, and we'll be more than happy to assist you. Let me know if there's anything else I can help you with!",CONTACT,contact_customer_service,0.0,61
7213,I'm not happy with ur work how do i make a claim,"I'm aware that you're feeling dissatisfied with our work, and I apologize for any inconvenience caused. Your feedback is crucial to us, and I want to ensure that your concern is addressed promptly and effectively. To make a claim, I recommend reaching out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. They will guide you through the process and provide the necessary assistance. We appreciate your patience and understanding and look forward to resolving this matter for you.",FEEDBACK,complaint,-0.4,97
13505,I want help to see how soon can I expect my product,"We completely understand your anticipation in wanting to know when you can expect your product. To provide you with an accurate estimate, could you please provide us with the {{Order Number}} or {{Tracking Number}}? Once we have these details, we will be able to give you the precise delivery time. Your satisfaction is our top priority, and we appreciate your patience.",DELIVERY,delivery_period,0.0,61
17636,I want help receoving the newsletter,"I appreciate your interest in receiving our newsletter! It seems you may be encountering some difficulties with receiving it. I apologize for any inconvenience caused. In order to assist you further, could you please provide me with your email address? This way, I can ensure that you are subscribed to our newsletter and receiving it without any issues. Rest assured, your privacy is of utmost importance to us, and we will handle your information with the highest level of security and care.",SUBSCRIPTION,newsletter_subscription,0.0,82
7171,how do I lodge a damn consumer reclamation?,"I'm very sorry to hear that you're frustrated and need assistance with lodging a consumer reclamation. We genuinely care about resolving any issues you may have. To ensure that your complaint is properly addressed, please provide me with some additional details such as the nature of the issue, any specific individuals involved, and any supporting documentation you may have. This will help us process your complaint more efficiently. We value your feedback and look forward to assisting you further in this matter.",FEEDBACK,complaint,0.0,82
3662,I do not know how to check the cancellation charge,"No problem! I can assist you with checking the cancellation charge. To find out the cancellation fee for your account, you can refer to our website and go to the ""Account"" section. From there, you should be able to locate the information regarding the cancellation charge and any applicable fees. If you need any further assistance, feel free to let me know!",CANCEL,check_cancellation_fee,0.0,62
